ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
A. T. ALLISON ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540045001186,CHESTER,WV ,26034,2-No,2-No,14.37
A. W. COX SCHOOL,Connecticut,CONNECTICUT,090180000329,Guilford,CT ,06437,2-No,2-No,12.14
A. W. WATSON  ELEMENTARY,Mississippi,MISSISSIPPI,280102001213,PORT GIBSON,MS ,39150,2-No,2-No,18.40
A. WARD SPAULDING SCHOOL,Connecticut,CONNECTICUT,090447000903,Suffield,CT ,06078,2-No,2-No,15.00
A. Z. KELLEY ELEMENTARY,Tennessee,TENNESSEE,470318002116,Antioch,TN ,37013,2-No,2-No,15.77
A.B. COMBS ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210477001176,Combs,KY ,41729,2-No,2-No,14.16
A.B. SKANE CENTER,Connecticut,CONNECTICUT,090045000085,Bridgeport,CT ,06606,2-No,2-No,12.22
A.C. ALEXANDER SCHOOL,Louisiana,LOUISIANA,220084000578,Kenner,LA ,70065,2-No,2-No,18.02
A.C. MOORE ELEM SCH,Alabama,ALABAMA,010135000482,Atmore,AL ,36502,2-No,2-No,17.44
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220030000198,Shreveport,LA ,71105,2-No,2-No,16.20
A.C.E. ACADEMY,North Carolina,NORTH CAROLINA,370037203324,Harrisburg,NC ,28075,2-No,2-No,19.45
A.C.G.C. ELEMENTARY,Minnesota,MINNESOTA,270010602568,ATWATER,MN ,56209,2-No,2-No,12.00
A.C.G.C. SECONDARY,Minnesota,MINNESOTA,270010602570,GROVE CITY,MN ,56243,1-Yes,1-Yes,13.39
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Florida,FLORIDA,120201203140,BOCA RATON,FL ,33431,1-Yes,1-Yes,21.42
A.E. BURLING ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341287002927,PENNSAUKEN,NJ ,08105,2-No,2-No,13.75
A.G. RICHARDSON ELEMENTARY,Virginia,VIRGINIA,510105000374,Culpeper,VA ,22701,2-No,2-No,14.44
A.I. JEDLICKA MIDDLE SCHOOL,Minnesota,MINNESOTA,273009001552,PROCTOR,MN ,55810,2-No,2-No,18.41
A.J. WHITTENBERG ELEMENTARY,South Carolina,SOUTH CAROLINA,450231001551,Greenville,SC ,29601,2-No,2-No,16.99
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,GEORGIA,130351001338,Marietta,GA ,30064,2-No,2-No,13.08
A.M. DAVIS ELEMENTARY,Virginia,VIRGINIA,510084000314,North Chesterfield,VA ,23236,2-No,2-No,14.73
A.QUINN JONES CENTER,Florida,FLORIDA,120003000004,GAINESVILLE,FL ,32601,1-Yes,1-Yes,5.69
A.S. RHODES ELEMENTARY,Virginia,VIRGINIA,510387001729,Front Royal,VA ,22630,2-No,2-No,18.01
A.W.E. BASSETTE ELEMENTARY,Virginia,VIRGINIA,510180000725,Hampton,VA ,23661,2-No,2-No,17.82
A/O PROGRAM,Minnesota,MINNESOTA,270226403259,STILLWATER,MN ,55082,2-No,2-No,6.11
AA RATHER SCHOOL,Michigan,MICHIGAN,261925005600,IONIA,MI ,48846,2-No,2-No,21.32
AAEC - PARADISE VALLEY,Arizona,ARIZONA,040010601892,Phoenix,AZ ,85032,1-Yes,1-Yes,†
AAEC - SMCC CAMPUS,Arizona,ARIZONA,040041701588,Phoenix,AZ ,85042,1-Yes,1-Yes,†
AARON COHN MIDDLE SCHOOL,Georgia,GEORGIA,130387004127,Midland,GA ,31820,2-No,2-No,16.69
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,GEORGIA,130002603806,Midland,GA ,31820,2-No,2-No,†
AARON DECKER SCHOOL,New Jersey,NEW JERSEY,340252004168,BUTLER,NJ ,07405,2-No,2-No,10.97
AARON MOSSELL JUNIOR HIGH SCHOOL,New York,NEW YORK,361767001587,LOCKPORT,NY ,14094,2-No,2-No,10.74
AARON PARKER EL,Texas,TEXAS,483301003665,POWDERLY,TX ,75473,2-No,2-No,10.08
AB DAVIS STEAM HIGH SCHOOL,New York,NEW YORK,362010001840,MOUNT VERNON,NY ,10552,2-No,2-No,10.03
AB HARRISON INT,Texas,TEXAS,484653007224,WYLIE,TX ,75098,2-No,2-No,15.30
ABA AUTISM PROGRAM,CONNECTICUT,CONNECTICUT,090312001874,Norwich,CT ,06360,2-No,2-No,†
ABA NICHOLS,CONNECTICUT,CONNECTICUT,090444001824,Stratford,CT ,06614,2-No,2-No,†
ABA SECOND HILL LANE,CONNECTICUT,CONNECTICUT,090444001734,Stratford,CT ,06614,2-No,2-No,†
ABA WHITNEY,CONNECTICUT,CONNECTICUT,090444001846,Stratford,CT ,06614,2-No,2-No,†
ABB'S VALLEY-BOISSEVAIN ELEMENTARY,Virginia,VIRGINIA,510381001645,Bluefield,VA ,24605,2-No,2-No,16.07
ABBETT EL,Texas,TEXAS,482034006706,GARLAND,TX ,75044,2-No,2-No,16.98
ABBEVILLE CITY CAREER CENTER,South Carolina,SOUTH CAROLINA,450069001188,Abbeville,SC ,29620,1-Yes,1-Yes,0.00
ABBEVILLE ELEMENTARY SCHOOL,Alabama,ALABAMA,010174000602,Abbeville,AL ,36310,2-No,2-No,15.96
ABBEVILLE HIGH,South Carolina,SOUTH CAROLINA,450069000011,Abbeville,SC ,29620,1-Yes,1-Yes,14.67
ABBEVILLE HIGH SCHOOL,Louisiana,LOUISIANA,220180001385,Abbeville,LA ,70510,1-Yes,1-Yes,13.27
ABBEVILLE HIGH SCHOOL,Alabama,ALABAMA,010174000600,Abbeville,AL ,36310,1-Yes,1-Yes,14.83
ABBEY LANE SCHOOL,New York,NEW YORK,361716001518,LEVITTOWN,NY ,11756,2-No,2-No,12.69
ABBOT ELEMENTARY,Massachusetts,MASSACHUSETTS,251266000163,Westford,MA ,01886,2-No,2-No,13.99
ABBOT SCHOOL,Michigan,MICHIGAN,260282004004,ANN ARBOR,MI ,48103,2-No,2-No,13.82
ABBOT-DOWNING SCHOOL,New Hampshire,NEW HAMPSHIRE,330246000054,Concord,NH ,03301,2-No,2-No,14.59
ABBOTSFORD ELEMENTARY,Wisconsin,WISCONSIN,550003000001,Abbotsford,WI ,54405,2-No,2-No,15.96
ABBOTSFORD MIDDLE/SENIOR HIGH,Wisconsin,WISCONSIN,550003000002,Abbotsford,WI ,54405,1-Yes,1-Yes,13.02
ABBOTT HOUSE ELEMENTARY - 06,South Dakota,SOUTH DAKOTA,464839001338,Mitchell,SD ,57301,2-No,2-No,4.00
ABBOTT HOUSE HIGH SCHOOL - 07,South Dakota,SOUTH DAKOTA,464839001337,Mitchell,SD ,57301,1-Yes,1-Yes,5.33
ABBOTT LOOP ELEMENTARY,Alaska,ALASKA,020018000053,Anchorage,AK ,99507,2-No,2-No,15.39
ABBOTT MEMORIAL,Massachusetts,MASSACHUSETTS,250492000706,Florida,MA ,01247,2-No,2-No,7.01
ABBOTT MIDDLE,California,CALIFORNIA,063492005896,San Mateo,CA ,94403,2-No,2-No,21.15
ABBOTT MIDDLE SCHOOL,Illinois,ILLINOIS,171371001664,Elgin,IL ,60123,2-No,2-No,15.71
ABBOTT SCHOOL,Texas,TEXAS,480738000006,ABBOTT,TX ,76621,1-Yes,1-Yes,12.26
ABBOTT SCHOOL,New York,NEW YORK,360230004429,IRVINGTON,NY ,10533,–,–,†
ABBOTTS CREEK ELEMENTARY,North Carolina,NORTH CAROLINA,370472003241,Raleigh,NC ,27614,2-No,2-No,17.13
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,GEORGIA,130228002378,Duluth,GA ,30097,2-No,2-No,16.10
ABBOTTSTON ELEMENTARY,Maryland,MARYLAND,240009000143,Baltimore,MD ,21218,2-No,2-No,17.41
ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,Massachusetts,MASSACHUSETTS,250005101247,Worcester,MA ,01606,1-Yes,1-Yes,13.37
ABBY REINKE ELEMENTARY,California,CALIFORNIA,060002808271,Temecula,CA ,92592,2-No,2-No,23.06
ABC / FORBES SCHOOL,CONNECTICUT,CONNECTICUT,090459001880,Torrington,CT ,06790,2-No,2-No,†
ABC / TORRINGFORD,CONNECTICUT,CONNECTICUT,090459001910,Torrington,CT ,06790,2-No,2-No,†
ABC ADULT,California,†,060162012587,†,†,†,†,†,†
ABC CLASSROOM,CONNECTICUT,CONNECTICUT,090528001783,Wolcott,CT ,06716,2-No,2-No,†
ABC ELEMENTARY,Alabama,ALABAMA,010351001342,Alberta,AL ,36720,2-No,2-No,16.25
ABC PRESCHOOL,Nebraska,NEBRASKA,310282002230,ALBION,NE ,68620,2-No,2-No,40.00
ABC SECONDARY (ALTERNATIVE),California,CALIFORNIA,060162010232,Cerritos,CA ,90703,1-Yes,1-Yes,52.27
ABE DIPLOMA PROGRAM,Minnesota,MINNESOTA,273239002514,APPLE VALLEY,MN ,55124,1-Yes,1-Yes,7.13
ABE HUBERT ELEMENTARY SCHOOL,Kansas,KANSAS,200639001170,Garden City,KS ,67846,2-No,2-No,12.90
ABE LINCOLN ELEM SCHOOL,Illinois,ILLINOIS,171020001235,Cicero,IL ,60804,2-No,2-No,15.65
ABELL J H,Texas,TEXAS,483057005118,MIDLAND,TX ,79707,2-No,2-No,16.55
ABERDEEN ACADEMY,Michigan,MICHIGAN,261644008574,Grand Rapids,MI ,49505,2-No,2-No,14.71
ABERDEEN ALTERNATIVE LEARNING CENTER- 12,South Dakota,SOUTH DAKOTA,460207001230,Aberdeen,SD ,57401,2-No,2-No,1.00
ABERDEEN ELEMENTARY,North Carolina,NORTH CAROLINA,370309001315,Aberdeen,NC ,28315,2-No,2-No,13.60
ABERDEEN ELEMENTARY,Virginia,VIRGINIA,510180000726,Hampton,VA ,23666,2-No,2-No,16.21
ABERDEEN ELEMENTARY SCHOOL,Mississippi,MISSISSIPPI,280036001372,Aberdeen,MS ,39730,2-No,2-No,16.71
ABERDEEN ELEMENTARY SCHOOL,Idaho,IDAHO,160003000828,ABERDEEN,ID ,83210,2-No,2-No,19.21
ABERDEEN HIGH,Maryland,MARYLAND,240039000679,Aberdeen,MD ,21001,1-Yes,1-Yes,16.08
ABERDEEN HIGH SCHOOL,Idaho,IDAHO,160003000002,ABERDEEN,ID ,83210,1-Yes,1-Yes,13.42
ABERDEEN HIGH SCHOOL,Mississippi,MISSISSIPPI,280036000009,Aberdeen,MS ,39730,1-Yes,1-Yes,13.39
ABERDEEN MIDDLE,Maryland,MARYLAND,240039000678,Aberdeen,MD ,21001,2-No,2-No,14.20
ABERDEEN MIDDLE SCHOOL,Idaho,IDAHO,160003000829,ABERDEEN,ID ,83210,2-No,2-No,13.85
ABERDEEN PRIMARY,North Carolina,NORTH CAROLINA,370309001314,Aberdeen,NC ,28315,2-No,2-No,13.30
ABERNATHY DAEP,Texas,TEXAS,480741009626,PLAINVIEW,TX ,79072,2-No,2-No,†
ABERNATHY EL,Texas,TEXAS,480741000007,ABERNATHY,TX ,79311,2-No,2-No,14.19
ABERNATHY H S,Texas,TEXAS,480741000008,ABERNATHY,TX ,79311,1-Yes,1-Yes,9.25
ABERNATHY MIDDLE,Texas,TEXAS,480741000009,ABERNATHY,TX ,79311,2-No,2-No,12.29
ABERNETHY ELEMENTARY SCHOOL,Oregon,OREGON,411004000865,Portland,OR ,97214,2-No,2-No,21.01
ABESS PARK ELEMENTARY SCHOOL,Florida,FLORIDA,120048003173,JACKSONVILLE,FL ,32225,2-No,2-No,13.75
ABIA JUDD ELEMENTARY SCHOOL,Arizona,ARIZONA,040673001433,Prescott,AZ ,86305,2-No,2-No,18.24
ABIGAIL ADAMS MIDDLE SCHOOL,Massachusetts,MASSACHUSETTS,251284002607,East Weymouth,MA ,02189,2-No,2-No,13.87
ABILENE ELEM,Kansas,KANSAS,201251000367,Valley Center,KS ,67147,2-No,2-No,19.93
ABILENE H S,Texas,TEXAS,480744000010,ABILENE,TX ,79603,1-Yes,1-Yes,15.39
ABILENE HIGH SCHOOL,Kansas,KANSAS,200318001063,Abilene,KS ,67410,1-Yes,1-Yes,15.13
ABILENE MIDDLE SCHOOL,Kansas,KANSAS,200318001062,Abilene,KS ,67410,2-No,2-No,14.84
ABILITIES IN MOTION (AIM) PROGRAM,CONNECTICUT,CONNECTICUT,090132001730,Niantic,CT ,06357,1-Yes,2-No,28.89
ABINGDON ELEMENTARY,Virginia,VIRGINIA,510027000081,Arlington,VA ,22206,2-No,2-No,11.45
ABINGDON ELEMENTARY,Maryland,MARYLAND,240039000162,Abingdon,MD ,21009,2-No,2-No,16.46
ABINGDON ELEMENTARY,Virginia,VIRGINIA,510390001735,Abingdon,VA ,24210,2-No,2-No,14.11
ABINGDON ELEMENTARY,Virginia,VIRGINIA,510162000677,Hayes,VA ,23072,2-No,2-No,17.74
ABINGDON HIGH,Virginia,VIRGINIA,510390001736,Abingdon,VA ,24210,1-Yes,1-Yes,16.18
ABINGDON-AVON HIGH SCH,Illinois,ILLINOIS,170141306274,Abingdon,IL ,61410,1-Yes,1-Yes,12.72
ABINGDON-AVON MIDDLE SCH,Illinois,ILLINOIS,170141306247,Avon,IL ,61415,2-No,2-No,16.35
ABINGTON AVENUE SCHOOL,New Jersey,NEW JERSEY,341134002222,NEWARK,NJ ,07107,2-No,2-No,16.02
ABINGTON EARLY EDUCATION PROGRAM,Massachusetts,MASSACHUSETTS,250165002727,Abington,MA ,02351,2-No,2-No,19.65
ABINGTON HEIGHTS HS,Pennsylvania,PENNSYLVANIA,420201005091,Clarks Summit,PA ,18411,1-Yes,1-Yes,14.37
ABINGTON HEIGHTS MS,Pennsylvania,PENNSYLVANIA,420201006839,Clarks Summit,PA ,18411,2-No,2-No,15.71
ABINGTON HIGH,Massachusetts,MASSACHUSETTS,250165000001,Abington,MA ,02351,1-Yes,1-Yes,11.52
ABINGTON MIDDLE SCHOOL,Massachusetts,MASSACHUSETTS,250165000002,Abington,MA ,02351,2-No,2-No,13.32
ABINGTON MS,Pennsylvania,PENNSYLVANIA,420204003242,Abington,PA ,19001,2-No,2-No,14.84
ABINGTON SHS,Pennsylvania,PENNSYLVANIA,420204003241,Abington,PA ,19001,1-Yes,1-Yes,15.14
ABIQUIU ELEMENTARY,New Mexico,NEW MEXICO,350090000259,ESPANOLA,NM ,87532,2-No,2-No,25.54
ABITA SPRINGS ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220165001263,Abita Springs,LA ,70420,2-No,2-No,15.45
ABITA SPRINGS MIDDLE SCHOOL,Louisiana,LOUISIANA,220165001565,Abita Springs,LA ,70420,2-No,2-No,19.33
ABLE,Kentucky,KENTUCKY,210186002236,Lexington,KY ,40502,2-No,2-No,†
ABLE CHARTER SCHOOL 6TH-8TH,OKLAHOMA,OKLAHOMA,400079002811,Oklahoma City,OK ,73118,2-No,2-No,7.14
ABLE CHARTER SCHOOL 9TH-12TH,OKLAHOMA,OKLAHOMA,400079002814,Oklahoma City,OK ,73118,1-Yes,1-Yes,39.64
ABLE PROGRAM,Illinois,ILLINOIS,170138305899,Dolton,IL ,60419,2-No,2-No,8.38
ABNER CREEK ACADEMY,South Carolina,SOUTH CAROLINA,450360001503,Duncan,SC ,29334,2-No,2-No,14.35
ABNER GIBBS,Massachusetts,MASSACHUSETTS,251263002061,Westfield,MA ,01085,2-No,2-No,14.54
ABNEY ELEMENTARY EARLY CHILDHOOD CENTER,Louisiana,LOUISIANA,220165002317,Slidell,LA ,70458,2-No,2-No,14.89
ABOITE ELEMENTARY SCHOOL,Indiana,INDIANA,180003000001,Fort Wayne,IN ,46814,2-No,2-No,16.71
ABORN,Massachusetts,MASSACHUSETTS,250711001061,Lynn,MA ,01902,2-No,2-No,15.52
ABOUT FACE JJAEP,Texas,TEXAS,481830012491,EL PASO,TX ,79902,–,–,†
ABOUT FACE PROGRAM EL,Texas,TEXAS,481830010643,EL PASO,TX ,79904,2-No,2-No,0.67
ABQ CHARTER ACADEMY,New Mexico,NEW MEXICO,350006000893,ALBUQUERQUE,NM ,87102,1-Yes,1-Yes,23.51
ABQ SCHOOL OF EXCELLENCE,New Mexico,NEW MEXICO,350012201071,ALBUQUERQUE,NM ,87112,1-Yes,1-Yes,14.90
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NEW MEXICO,350012301066,ALBUQUERQUE,NM ,87102,2-No,1-Yes,7.82
ABRAHAM CLARK HIGH SCHOOL,New Jersey,NEW JERSEY,341428005650,ROSELLE,NJ ,07203,1-Yes,1-Yes,11.11
ABRAHAM KAZEN MIDDLE,Texas,TEXAS,484068005591,SAN ANTONIO,TX ,78224,2-No,2-No,15.48
ABRAHAM LINCOLN,Massachusetts,MASSACHUSETTS,251005001618,Revere,MA ,02151,2-No,2-No,15.93
ABRAHAM LINCOLN,Massachusetts,MASSACHUSETTS,250702001023,Lowell,MA ,01851,2-No,2-No,13.58
ABRAHAM LINCOLN,California,CALIFORNIA,062985004650,Paramount,CA ,90723,2-No,2-No,23.53
ABRAHAM LINCOLN,Massachusetts,MASSACHUSETTS,250843001318,New Bedford,MA ,02745,2-No,2-No,21.07
ABRAHAM LINCOLN ALTERNATIVE,California,CALIFORNIA,063762002045,Rosamond,CA ,93560,1-Yes,1-Yes,43.91
ABRAHAM LINCOLN CONTINUATION,California,CALIFORNIA,063315005148,Riverside,CA ,92507,1-Yes,1-Yes,13.57
ABRAHAM LINCOLN EL SCH,Pennsylvania,PENNSYLVANIA,420351004802,Pittsburgh,PA ,15234,2-No,2-No,13.35
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,ILLINOIS,170561000231,Belleville,IL ,62226,2-No,2-No,21.12
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,ILLINOIS,171680001981,Glen Ellyn,IL ,60137,2-No,2-No,15.16
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,ILLINOIS,172925003060,Oak Park,IL ,60304,2-No,2-No,16.31
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,063531005993,Santa Ana,CA ,92704,2-No,2-No,28.19
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,061111001230,Palm Desert,CA ,92260,2-No,2-No,26.00
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,063384005218,Sacramento,CA ,95827,2-No,2-No,27.71
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,060939000951,Colton,CA ,92324,2-No,2-No,23.21
ABRAHAM LINCOLN ELEMENTARY,Oregon,OREGON,410804000963,Medford,OR ,97504,2-No,2-No,21.35
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,063581006125,Santa Rosa,CA ,95401,2-No,2-No,19.63
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,061029001139,Cupertino,CA ,95014,2-No,2-No,25.88
ABRAHAM LINCOLN ELEMENTARY,Wisconsin,WISCONSIN,550984002771,Monroe,WI ,53566,2-No,2-No,13.54
ABRAHAM LINCOLN ELEMENTARY,Washington,WASHINGTON,530966001632,WENATCHEE,WA ,98801,2-No,2-No,13.74
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,061524001937,La Crescenta,CA ,91214,2-No,2-No,24.67
ABRAHAM LINCOLN ELEMENTARY,California,CALIFORNIA,062724000755,Corona Del Mar,CA ,92625,2-No,2-No,22.30
ABRAHAM LINCOLN ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341836000940,WYCKOFF,NJ ,07481,2-No,2-No,12.85
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Indiana,INDIANA,180882001455,Indianapolis,IN ,46217,2-No,2-No,23.87
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Indiana,INDIANA,180432000730,Hammond,IN ,46327,2-No,2-No,17.46
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210318002044,Hodgenville,KY ,42748,2-No,2-No,14.57
ABRAHAM LINCOLN ELEMENTARY SCHOOL,New York,NEW YORK,361563001352,JAMESTOWN,NY ,14701,2-No,2-No,13.24
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Tennessee,TENNESSEE,470219000710,Kingsport,TN ,37664,2-No,2-No,15.57
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Indiana,INDIANA,180288000362,East Chicago,IN ,46312,2-No,2-No,13.99
ABRAHAM LINCOLN HIGH,California,CALIFORNIA,063459005696,San Jose,CA ,95126,1-Yes,1-Yes,23.04
ABRAHAM LINCOLN HIGH SCHOOL,Iowa,IOWA,190822000409,Council Bluffs,IA ,51503,1-Yes,1-Yes,16.03
ABRAHAM LINCOLN HIGH SCHOOL,New York,NEW YORK,360015201906,BROOKLYN,NY ,11235,1-Yes,1-Yes,16.28
ABRAHAM LINCOLN HIGH SCHOOL,Colorado,COLORADO,080336000305,DENVER,CO ,80219,1-Yes,1-Yes,13.57
ABRAHAM LINCOLN JR. HIGH,California,CALIFORNIA,060363007992,Bakersfield,CA ,93305,2-No,2-No,24.44
ABRAHAM LINCOLN MIDDLE,California,CALIFORNIA,063627001989,Selma,CA ,93662,2-No,2-No,18.92
ABRAHAM LINCOLN MIDDLE SCHOOL,Florida,FLORIDA,120003000010,GAINESVILLE,FL ,32641,2-No,2-No,20.00
ABRAHAM LINCOLN MIDDLE SCHOOL,Illinois,ILLINOIS,173451003558,Rockford,IL ,61104,2-No,2-No,13.80
ABRAHAM LINCOLN MIDDLE SCHOOL NO. 4,New Jersey,NEW JERSEY,341254004842,Passaic,NJ ,07055,2-No,2-No,13.90
ABRAHAM LINCOLN SCHOOL,Maine,MAINE,230282000046,Bangor,ME ,04401,2-No,2-No,12.51
ABRAHAM LINCOLN SCHOOL,Ohio,OHIO,390443005353,Maple Heights,OH ,44137,2-No,2-No,22.88
ABRAHAM LINCOLN SCHOOL #6,New Jersey,NEW JERSEY,340576000472,GARFIELD,NJ ,07026,2-No,2-No,10.76
ABRAHAM LINCOLN SCHOOL NO. 14,New Jersey,NEW JERSEY,340459005508,ELIZABETH,NJ ,07202,2-No,2-No,13.42
ABRAHAM LINCOLN SENIOR HIGH,California,CALIFORNIA,062271003139,Los Angeles,CA ,90031,1-Yes,1-Yes,18.65
ABRAHAM LINCOLN TRADITIONAL SCHOOL,Arizona,ARIZONA,040906000652,Phoenix,AZ ,85051,2-No,2-No,20.68
ABRAHAM MALLINSON ELEMENTARY,Missouri,MISSOURI,291548003210,SUGAR CREEK,MO ,64054,2-No,2-No,14.82
ABRAHAM PIERSON SCHOOL,Connecticut,CONNECTICUT,090081000131,Clinton,CT ,06413,2-No,2-No,11.31
ABRAHAM WING SCHOOL,New York,NEW YORK,360231000002,GLENS FALLS,NY ,12801,2-No,2-No,9.99
ABRAM LANSING SCHOOL,New York,NEW YORK,360798000568,COHOES,NY ,12047,2-No,2-No,13.51
ABRAM P. MORRIS EARLY CHILDHOOD CENTER,New Jersey,NEW JERSEY,340729005548,HILLSIDE,NJ ,07205,2-No,2-No,11.37
ABRAMS ELEMENTARY,Wisconsin,WISCONSIN,551095001431,Abrams,WI ,54101,2-No,2-No,15.05
ABRAMS ELEMENTARY SCHOOL,Alabama,ALABAMA,010033001479,Bessemer,AL ,35020,2-No,2-No,16.81
ABRAMS ELEMENTARY SCHOOL,Colorado,COLORADO,080408000560,FORT CARSON,CO ,80902,2-No,2-No,15.87
ABRAMSON SCI ACADEMY,LOUISIANA,LOUISIANA,220023702068,New Orleans,LA ,70127,1-Yes,1-Yes,15.17
ABRAXAS CONTINUATION HIGH,California,CALIFORNIA,063153004883,Poway,CA ,92064,1-Yes,1-Yes,12.45
ABRAXIS CHARTER,California,CALIFORNIA,063583011483,Santa Rosa,CA ,95401,1-Yes,1-Yes,†
ABSAROKEE 6-8,Montana,MONTANA,300171001063,Absarokee,MT ,59001,2-No,2-No,9.04
ABSAROKEE HIGH SCHOOL,Montana,MONTANA,300174000002,Absarokee,MT ,59001,1-Yes,1-Yes,10.02
ABSAROKEE SCHOOL,Montana,MONTANA,300171000001,Absarokee,MT ,59001,2-No,2-No,15.03
ABSEGAMI HIGH SCHOOL,New Jersey,NEW JERSEY,340606000122,GALLOWAY,NJ ,08205,1-Yes,1-Yes,11.84
ABSS EARLY COLLEGE AT ACC,North Carolina,NORTH CAROLINA,370003002972,Graham,NC ,27253,1-Yes,1-Yes,20.40
AC EDGERTON ELEMENTARY SCHOOL,Michigan,MICHIGAN,261011004497,CLIO,MI ,48420,2-No,2-No,21.59
AC PREP ELEMENTARY,Missouri,MISSOURI,291640001718,KANSAS CITY,MO ,64132,2-No,2-No,16.34
ACACIA ELEMENTARY,California,CALIFORNIA,061473001790,Fullerton,CA ,92831,2-No,2-No,32.27
ACACIA ELEMENTARY CHARTER,California,CALIFORNIA,062703013713,Stockton,CA ,95210,2-No,2-No,18.28
ACACIA ELEMENTARY SCHOOL,Arizona,ARIZONA,040885001510,Vail,AZ ,85641,2-No,2-No,†
ACACIA ELEMENTARY SCHOOL,Arizona,ARIZONA,040906000915,Phoenix,AZ ,85053,2-No,2-No,20.09
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,California,CALIFORNIA,060964001004,Thousand Oaks,CA ,91360,2-No,2-No,21.00
ACACIA MIDDLE,California,CALIFORNIA,061692002148,Hemet,CA ,92543,2-No,2-No,22.29
ACACIA MIDDLE CHARTER,California,CALIFORNIA,062703013727,Stockton,CA ,95210,2-No,2-No,29.60
ACAD FOR COLLEGE PREP AND CAREER EXP,New York,NEW YORK,360009505916,BROOKLYN,NY ,11226,1-Yes,1-Yes,17.38
ACAD FOR LIFELONG LEARNING,ILLINOIS,ILLINOIS,170002906337,Chicago Heights,IL ,60411,1-Yes,2-No,3.19
ACAD OF ENTRE STDY@LOUVERTURE,Missouri,MISSOURI,292928003215,ST. LOUIS,MO ,63104,2-No,2-No,10.91
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,New York,NEW YORK,360008805810,BRONX,NY ,10466,1-Yes,1-Yes,17.52
ACADEMIA ANA MARIE SANDOVAL,Colorado,COLORADO,080336001750,DENVER,CO ,80211,2-No,2-No,19.49
ACADEMIA ANTONIA ALONSO,Delaware,DELAWARE,100005300359,Wilmington,DE ,19805,2-No,2-No,19.76
ACADEMIA AVANCE CHARTER,CALIFORNIA,CALIFORNIA,060143510895,Highland Park,CA ,90042,1-Yes,1-Yes,23.08
ACADEMIA CESAR CHAVEZ CHTR SCHOOL,Minnesota,MINNESOTA,270018503138,SAINT PAUL,MN ,55119,2-No,2-No,18.36
ACADEMIA MODERNA,California,CALIFORNIA,062271012455,Walnut Park,CA ,90255,2-No,2-No,24.68
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MICHIGAN,260033004509,MIDLAND,MI ,48640,1-Yes,1-Yes,15.87
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MINNESOTA,270036104105,WEST SAINT PAUL,MN ,55118,1-Yes,1-Yes,12.38
ACADEMIC BEHAVIOR SCHOOL EAST,Texas,TEXAS,480026110705,HOUSTON,TX ,77012,–,–,†
ACADEMIC BEHAVIOR SCHOOL WEST,Texas,TEXAS,480026110706,HOUSTON,TX ,77063,–,–,†
ACADEMIC BEHAVIOR&COMMUNITY ACAD,Illinois,ILLINOIS,170016206156,Quincy,IL ,62301,1-Yes,1-Yes,24.00
